age,monthly_income,website_visits,time_spent_minutes,previous_purchases,is_student,country,device_type,purchased
56,1638.5539771666704,8,16.728721772176517,1,0,TR,Desktop,1
46,2499.096428334517,6,13.626011121093043,2,0,NL,Tablet,1
32,3727.544600429376,9,6.122760163085635,2,0,NL,Mobile,0
60,4867.453423166919,10,9.321936807886955,5,1,NL,Mobile,1
25,2703.8950718678634,12,12.331889170731415,6,0,TR,Mobile,1
38,3639.006309343698,5,16.34709856370418,4,0,NL,Tablet,1
56,2175.089152505413,9,21.909120075062543,3,0,FR,Mobile,1
36,5473.049374359716,7,14.488520945633399,1,1,FR,Mobile,1
40,6575.996670933328,11,20.201622864694777,3,0,TR,Mobile,0
28,6413.923786732481,9,22.24413769175766,2,0,TR,Tablet,1
28,5447.4693257292065,7,12.136219774258475,2,0,DE,Desktop,1
41,5293.764935680392,7,7.98265321607203,1,1,TR,Mobile,1
53,1000.0,11,15.187064267729818,4,0,DE,Mobile,1
57,4265.759848330158,18,8.308138441634153,5,1,NL,Tablet,1
41,3255.861064510138,11,24.086885037170504,1,0,DE,Tablet,1
20,5320.699541567352,5,20.83031565142401,3,1,TR,Desktop,0
39,1000.0,6,22.045080691061933,2,0,DE,Mobile,1
19,4289.451554155267,5,6.3505418239326445,4,0,NL,Tablet,1
41,3678.334324251396,11,13.182442362832125,1,0,DE,Tablet,1
61,5677.644899397106,5,15.266471679831911,4,0,NL,Tablet,1
47,6321.980580512108,3,17.008734908580692,0,0,TR,Desktop,0
55,2606.7309744808476,7,13.1949237067233,5,1,FR,Tablet,1
19,2674.434346154777,12,2.015086622193394,4,0,NL,Desktop,1
38,4345.74493181757,11,17.312112591573374,3,0,FR,Tablet,1
50,6600.644037282313,9,23.834411287572344,3,0,DE,Desktop,1
29,4090.2170159245243,9,25.049806808257312,3,1,DE,Mobile,1
39,2081.257876968504,10,13.671897590909,3,0,FR,Tablet,1
61,3091.1973307550606,6,15.39265988675103,3,1,DE,Mobile,1
42,4303.996246695193,14,9.969266908324293,2,1,TR,Desktop,1
44,4360.3036428459345,12,15.397355090065629,3,0,DE,Tablet,0
59,2943.8685466114403,12,12.855723986113503,3,1,TR,Desktop,1
45,3061.3139593305673,8,12.408437100833844,4,1,TR,Mobile,1
33,2527.6480081654026,5,7.517547416684125,2,1,DE,Desktop,0
32,5711.756775780694,14,22.704773934756716,5,0,TR,Desktop,1
64,2747.8372310599157,5,13.782939782902982,1,0,FR,Mobile,1
61,3302.8086941225743,15,12.608051938365357,2,0,NL,Tablet,1
20,3260.1206252140714,7,16.12188642568379,1,0,NL,Desktop,1
54,1591.0641287269127,8,12.106013023793981,7,0,TR,Desktop,1
24,2704.877042773276,12,4.513953510848518,1,0,NL,Tablet,1
38,5842.206398929808,15,21.527549158652384,6,0,NL,Tablet,1
26,2186.068237313908,10,15.172366947711668,2,0,NL,Mobile,0
56,2554.536547260449,14,18.936822077807665,3,1,DE,Desktop,1
35,2001.1813393311113,6,15.96805821007866,3,1,FR,Mobile,0
21,3864.0826596531087,10,19.743715755490072,4,1,NL,Desktop,1
42,6828.215081899435,16,18.51003421711015,3,1,NL,Tablet,1
31,3800.9586677093926,10,3.910363766379433,2,1,NL,Tablet,1
26,4100.143188031585,10,17.241529198965118,4,1,NL,Desktop,1
43,2806.829146199517,5,10.534504791554888,3,0,NL,Tablet,1
19,3907.5729328115913,8,10.512147362270632,1,0,TR,Desktop,1
37,5843.575459521424,9,6.550680543360723,1,0,TR,Tablet,1
45,4214.36408145726,6,24.042047223079017,5,0,DE,Desktop,1
64,7197.6551230932455,13,14.318351750216316,3,0,NL,Tablet,1
24,5889.219568458537,10,12.918940110840117,5,1,FR,Tablet,1
61,3870.5254818326002,9,11.172288278354218,1,0,DE,Desktop,1
25,3841.318186611827,15,26.73612522190539,1,0,FR,Tablet,1
64,6446.384706435447,12,20.06647732836557,5,1,NL,Desktop,1
52,4205.988363782843,9,2.9881266406025695,1,1,NL,Tablet,0
31,6113.382340407585,9,21.82049367411583,4,1,FR,Tablet,1
34,7004.36101019,8,10.406041485130071,2,1,DE,Desktop,1
53,3693.670948263836,9,18.287392709141713,8,0,FR,Desktop,1
57,4527.933048902523,15,12.783200621146214,3,1,NL,Mobile,0
21,5470.006276849569,13,6.324218565927225,3,1,FR,Mobile,1
19,5151.250058533779,12,12.42394789585702,6,0,DE,Tablet,1
23,5140.736099380752,11,16.205858557616313,2,0,DE,Mobile,1
59,1999.7892592333976,7,16.286941855862725,4,1,NL,Tablet,1
21,2727.374907757301,12,13.248603080851073,3,0,FR,Mobile,1
46,3257.0994685882188,13,15.2665618954427,5,0,NL,Mobile,1
35,5821.631205203013,9,15.661448174312662,1,1,NL,Desktop,1
43,2146.937639309671,10,19.56285032464057,3,1,TR,Tablet,1
61,6284.840060768259,11,21.55336803783186,5,1,NL,Desktop,1
51,5169.751171118025,11,15.009345531614601,2,0,DE,Desktop,1
27,5731.345337084161,8,8.38200179079246,4,1,FR,Mobile,1
53,2605.7003841325018,11,18.201080134376976,4,0,FR,Desktop,1
31,4108.453544035196,8,18.414791209027303,1,0,NL,Mobile,1
48,4448.414179196974,8,19.45829652733109,3,0,DE,Mobile,0
32,4382.450503034041,5,10.204013183688577,6,1,DE,Tablet,1
25,4443.486101270077,13,19.032788691390966,4,0,FR,Tablet,0
31,3585.2102794073326,17,16.581840998960537,2,0,FR,Tablet,1
40,4202.8106215954895,23,17.8986353490672,5,0,DE,Desktop,1
57,5550.34593259778,12,11.173808521010633,2,1,TR,Tablet,1
38,2250.2315373386646,6,5.622009760549448,7,1,NL,Desktop,1
33,6320.575178358105,8,8.185857528035246,4,0,DE,Tablet,1
62,5472.848434552671,10,19.41614024736451,6,0,NL,Mobile,1
35,2552.197160975,7,23.55787119814505,1,0,DE,Desktop,1
64,4575.754065182982,13,18.90149718915804,1,1,FR,Tablet,1
41,5352.248164237067,11,8.872805183271616,2,0,DE,Tablet,0
43,2147.060014171474,9,14.781012091839791,0,0,DE,Desktop,1
42,4062.967650064901,9,16.45993213077469,2,0,NL,Mobile,1
62,3882.2270487474907,10,15.222266379987854,2,0,FR,Desktop,1
58,3031.6291862396583,10,15.79402550698426,1,0,FR,Tablet,1
46,4138.53525514602,8,9.678879122171626,3,0,TR,Tablet,0
32,3099.5701360558146,14,7.545566546199679,4,1,TR,Tablet,0
62,6061.460603456106,18,10.091017309860941,0,0,DE,Mobile,1
18,3060.033518008885,7,8.777119504716026,5,1,FR,Tablet,1
42,5187.968410019737,6,15.570761847116097,5,1,NL,Desktop,0
24,1516.9204185697536,11,16.15706416484069,7,1,NL,Tablet,0
26,3757.2852942250584,9,8.118700732180205,2,0,DE,Mobile,1
41,4018.466736027038,11,14.579359907626799,3,0,TR,Mobile,1
18,3708.563424076704,6,24.227320504284208,1,1,NL,Desktop,1
61,3405.5225542069134,5,15.711418593652876,3,0,NL,Tablet,1
