,age,monthly_income,website_visits,time_spent,previous_purchases,is_student,country,device_type,purchased,annual_income,high_engagement,frequent_visitor,income_per_age,returning_customer,total_engagement
0,56,1638.5539771666704,8,16.728721772176517,1,0,TR,DESKTOP,1,19662.647726000047,True,False,29.259892449404827,True,24.728721772176517
1,46,2499.096428334517,6,13.626011121093043,2,0,NL,TABLET,1,29989.157140014206,False,False,54.32818322466341,True,19.626011121093043
2,32,3727.544600429376,9,6.122760163085635,2,0,NL,MOBILE,0,44730.53520515251,False,False,116.485768763418,True,15.122760163085635
3,60,4867.453423166919,10,9.321936807886956,5,1,NL,MOBILE,1,58409.44107800302,False,False,81.12422371944864,True,19.321936807886956
4,25,2703.8950718678634,12,12.331889170731417,6,0,TR,MOBILE,1,32446.74086241436,False,True,108.15580287471454,True,24.331889170731415
5,38,3639.006309343698,5,16.34709856370418,4,0,NL,TABLET,1,43668.07571212437,True,False,95.76332393009731,True,21.34709856370418
6,56,2175.089152505413,9,21.909120075062543,3,0,FR,MOBILE,1,26101.069830064956,True,False,38.840877723310946,True,30.909120075062543
7,36,5473.049374359716,7,14.4885209456334,1,1,FR,MOBILE,1,65676.59249231659,False,False,152.02914928776988,True,21.4885209456334
8,40,6575.996670933328,11,20.201622864694777,3,0,TR,MOBILE,0,78911.96005119993,True,True,164.3999167733332,True,31.201622864694777
9,28,6413.923786732481,9,22.24413769175766,2,0,TR,TABLET,1,76967.08544078977,True,False,229.0687066690172,True,31.24413769175766
10,28,5447.469325729207,7,12.136219774258477,2,0,DE,DESKTOP,1,65369.63190875049,False,False,194.55247591890026,True,19.13621977425848
11,41,5293.764935680392,7,7.98265321607203,1,1,TR,MOBILE,1,63525.17922816471,False,False,129.1162179434242,True,14.98265321607203
12,53,1000.0,11,15.187064267729818,4,0,DE,MOBILE,1,12000.0,True,True,18.867924528301888,True,26.187064267729816
13,57,4265.759848330158,18,8.308138441634153,5,1,NL,TABLET,1,51189.11817996189,False,True,74.83789207596769,True,26.308138441634153
14,41,3255.861064510138,11,24.086885037170504,1,0,DE,TABLET,1,39070.332774121656,True,True,79.41124547585703,True,35.086885037170504
15,20,5320.699541567352,5,20.83031565142401,3,1,TR,DESKTOP,0,63848.39449880822,True,False,266.0349770783676,True,25.83031565142401
16,39,1000.0,6,22.045080691061933,2,0,DE,MOBILE,1,12000.0,True,False,25.641025641025642,True,28.045080691061933
17,19,4289.451554155267,5,6.3505418239326445,4,0,NL,TABLET,1,51473.418649863204,False,False,225.76060811343513,True,11.350541823932645
18,41,3678.334324251396,11,13.182442362832123,1,0,DE,TABLET,1,44140.01189101675,False,True,89.71547132320478,True,24.182442362832123
19,61,5677.644899397106,5,15.266471679831913,4,0,NL,TABLET,1,68131.73879276527,True,False,93.07614589175584,True,20.266471679831913
20,47,6321.980580512108,3,17.008734908580692,0,0,TR,DESKTOP,0,75863.7669661453,True,False,134.51022511727888,False,20.008734908580692
21,55,2606.730974480848,7,13.1949237067233,5,1,FR,TABLET,1,31280.771693770177,False,False,47.39510862692451,True,20.1949237067233
22,19,2674.434346154777,12,2.015086622193394,4,0,NL,DESKTOP,1,32093.212153857323,False,True,140.7597024291988,True,14.015086622193394
23,38,4345.74493181757,11,17.312112591573374,3,0,FR,TABLET,1,52148.93918181084,True,True,114.36170873204132,True,28.312112591573374
24,50,6600.644037282313,9,23.834411287572344,3,0,DE,DESKTOP,1,79207.72844738775,True,False,132.01288074564624,True,32.834411287572344
25,29,4090.217015924524,9,25.049806808257312,3,1,DE,MOBILE,1,49082.60419109429,True,False,141.0419660663629,True,34.049806808257316
26,39,2081.257876968504,10,13.671897590909,3,0,FR,TABLET,1,24975.09452362205,False,False,53.365586588936004,True,23.671897590908998
27,61,3091.1973307550606,6,15.39265988675103,3,1,DE,MOBILE,1,37094.367969060724,True,False,50.675366077951814,True,21.39265988675103
28,42,4303.996246695193,14,9.969266908324292,2,1,TR,DESKTOP,1,51647.954960342315,False,True,102.47610111179031,True,23.969266908324293
29,44,4360.303642845935,12,15.397355090065629,3,0,DE,TABLET,0,52323.64371415123,True,True,99.09781006468035,True,27.39735509006563
30,59,2943.8685466114403,12,12.855723986113505,3,1,TR,DESKTOP,1,35326.42255933728,False,True,49.89607706121085,True,24.855723986113503
31,45,3061.3139593305677,8,12.408437100833844,4,1,TR,MOBILE,1,36735.76751196681,False,False,68.02919909623483,True,20.408437100833844
32,33,2527.648008165402,5,7.517547416684125,2,1,DE,DESKTOP,0,30331.776097984824,False,False,76.59539418683038,True,12.517547416684124
33,32,5711.756775780694,14,22.70477393475672,5,0,TR,DESKTOP,1,68541.08130936832,True,True,178.49239924314668,True,36.704773934756716
34,64,2747.837231059916,5,13.782939782902982,1,0,FR,MOBILE,1,32974.046772719,False,False,42.93495673531119,True,18.782939782902982
35,61,3302.8086941225743,15,12.608051938365357,2,0,NL,TABLET,1,39633.70432947089,False,True,54.14440482168155,True,27.608051938365357
36,20,3260.1206252140714,7,16.12188642568379,1,0,NL,DESKTOP,1,39121.44750256886,True,False,163.00603126070357,True,23.12188642568379
37,54,1591.0641287269127,8,12.10601302379398,7,0,TR,DESKTOP,1,19092.769544722953,False,False,29.464150531979865,True,20.106013023793977
38,24,2704.877042773276,12,4.513953510848518,1,0,NL,TABLET,1,32458.524513279313,False,True,112.70321011555318,True,16.513953510848516
39,38,5842.206398929808,15,21.527549158652384,6,0,NL,TABLET,1,70106.47678715769,True,True,153.74227365604756,True,36.527549158652384
40,26,2186.068237313908,10,15.172366947711668,2,0,NL,MOBILE,0,26232.818847766895,True,False,84.07954758899646,True,25.172366947711666
41,56,2554.536547260449,14,18.936822077807665,3,1,DE,DESKTOP,1,30654.438567125388,True,True,45.6167240582223,True,32.93682207780766
42,35,2001.1813393311115,6,15.96805821007866,3,1,FR,MOBILE,0,24014.17607197334,True,False,57.17660969517461,True,21.96805821007866
43,21,3864.0826596531087,10,19.743715755490072,4,1,NL,DESKTOP,1,46368.99191583731,True,False,184.00393617395756,True,29.743715755490072
44,42,6828.215081899435,16,18.51003421711015,3,1,NL,TABLET,1,81938.58098279322,True,True,162.57654956903417,True,34.510034217110146
45,31,3800.958667709393,10,3.910363766379433,2,1,NL,TABLET,1,45611.50401251271,False,False,122.61156992610945,True,13.910363766379433
46,26,4100.143188031585,10,17.241529198965118,4,1,NL,DESKTOP,1,49201.71825637902,True,False,157.69781492429172,True,27.241529198965118
47,43,2806.829146199517,5,10.534504791554888,3,0,NL,TABLET,1,33681.9497543942,False,False,65.27509642324458,True,15.534504791554888
48,19,3907.5729328115913,8,10.512147362270632,1,0,TR,DESKTOP,1,46890.87519373909,False,False,205.6617333058732,True,18.512147362270632
49,37,5843.575459521424,9,6.550680543360723,1,0,TR,TABLET,1,70122.90551425709,False,False,157.9344718789574,True,15.550680543360723
50,45,4214.36408145726,6,24.042047223079017,5,0,DE,DESKTOP,1,50572.368977487116,True,False,93.65253514349466,True,30.042047223079017
51,64,7197.6551230932455,13,14.318351750216316,3,0,NL,TABLET,1,86371.86147711895,False,True,112.46336129833196,True,27.318351750216316
52,24,5889.219568458537,10,12.918940110840117,5,1,FR,TABLET,1,70670.63482150243,False,False,245.38414868577237,True,22.91894011084012
53,61,3870.5254818326,9,11.172288278354218,1,0,DE,DESKTOP,1,46446.3057819912,False,False,63.4512374070918,True,20.172288278354216
54,25,3841.318186611827,15,26.73612522190539,1,0,FR,TABLET,1,46095.81823934193,True,True,153.6527274644731,True,41.73612522190539
55,64,6446.384706435447,12,20.06647732836557,5,1,NL,DESKTOP,1,77356.61647722535,True,True,100.72476103805386,True,32.066477328365565
